indv,pop,species,group
P.depa1056.R1,Depa08,Pdepa,Litoral
P.depa1057.R1,Depa08,Pdepa,Litoral
P.depa1059.R1,Depa08,Pdepa,Litoral
P.depa1060.R1,Depa08,Pdepa,Litoral
P.depa1067.R1,Depa08,Pdepa,Litoral
P.depa1302.R1,Depa07,Pdepa,Interior
P.depa1303.R1,Depa07,Pdepa,Interior
P.depa1304.R1,Depa07,Pdepa,Interior
P.depa1305.R1,Depa07,Pdepa,Interior
P.depa1306.R1,Depa07,Pdepa,Interior
P.depa1371.R1,Depa02,Pdepa,Litoral
P.depa1372.R1,Depa02,Pdepa,Litoral
P.depa1374.R1,Depa02,Pdepa,Litoral
P.depa1375.R1,Depa02,Pdepa,Litoral
P.depa1396.R1,Depa01,Pdepa,Litoral
P.depa1397.R1,Depa01,Pdepa,Litoral
P.depa1398.R1,Depa01,Pdepa,Litoral
P.depa1399.R1_final,Depa01,Pdepa,Litoral
P.depa1400.R1,Depa01,Pdepa,Litoral
P.depa1420.R1,Inte06,Pinte,Interior
P.depa1421.R1,Inte06,Pinte,Interior
P.depa1422.R1,Inte06,Pinte,Interior
P.depa1423.R1,Inte06,Pinte,Interior
P.depa1424.R1_final,Inte06,Pinte,Interior
P.depa430.R1,Depa03,Pdepa,Interior
P.depa431.R1,Depa03,Pdepa,Interior
P.depa432.R1,Depa03,Pdepa,Interior
P.depa433.R1,Depa03,Pdepa,Interior
P.depa434.R1,Depa03,Pdepa,Interior
P.depa458.R1,Depa03,Pdepa,Interior
P.depa49.R1,Depa04,Pdepa,Litoral
P.depa50.R1,Depa04,Pdepa,Litoral
P.depa52.R1,Depa04,Pdepa,Litoral
P.depa53.R1,Depa04,Pdepa,Litoral
P.depa54.R1,Depa04,Pdepa,Litoral
P.depa622.R1,Depa05,Pdepa,Litoral
P.depa623.R1,Depa05,Pdepa,Litoral
P.depa624.R1,Depa05,Pdepa,Litoral
P.depa625.R1,Depa05,Pdepa,Litoral
P.depa626.R1,Depa05,Pdepa,Litoral
P.inte1087.R1,Inte01,Pinte,Interior
P.inte1088.R1,Inte01,Pinte,Interior
P.inte1089.R1,Inte01,Pinte,Interior
P.inte1090.R1,Inte01,Pinte,Interior
P.inte1091.R1,Inte01,Pinte,Interior
P.inte1092.R1,Inte01,Pinte,Interior
P.inte670.R1,Inte03,Pinte,Interior
P.inte671.R1,Inte03,Pinte,Interior
P.inte672.R1,Inte03,Pinte,Interior
P.inte673.R1,Inte03,Pinte,Interior
P.inte674.R1,Inte03,Pinte,Interior
P.inte711.R1,Inte02,Pinte,Interior
P.inte712.R1,Inte02,Pinte,Interior
P.inte714.R1,Inte02,Pinte,Interior
P.inte837.R1,Inte05,Pinte,Interior
P.inte840.R1,Inte05,Pinte,Interior
P.inte861.R1,Inte04,Pinte,Interior
P.inte863.R1,Inte04,Pinte,Interior
P.inte864.R1,Inte04,Pinte,Interior
P.inte865.R1,Inte04,Pinte,Interior
